,fov,spot_id,Ascending.vasa.recta.endothelium,B-cell,Connecting.tubule,Descending.vasa.recta.endothelium,Distinct.proximal.tubule.1,Distinct.proximal.tubule.2,Epithelial.progenitor.cell,Fibroblast,Glomerular.endothelium,Indistinct.intercalated.cell,MNP.a.classical.monocyte.derived,MNP.b.non.classical.monocyte.derived,MNP.c.dendritic.cell,Myofibroblast,NK,Pelvic.epithelium,Peritubular.capillary.endothelium.1,Peritubular.capillary.endothelium.2,Podocyte,Principal.cell,Proliferating.Proximal.Tubule,Proximal.tubule,T CD4 memory,T CD4 naive,T CD8 memory,T CD8 naive,Thick.ascending.limb.of.Loop.of.Henle,Treg,Type.A.intercalated.cell,Type.B.intercalated.cell,mDC,macrophage,mast,neutrophil,pDC,plasmablast
16,8.0,17.0,11.0,0.0,2.0,3.0,21.0,9.0,2.0,6.0,13.0,0.0,2.0,0.0,8.0,15.0,0.0,1.0,11.0,0.0,26.0,12.0,2.0,39.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
17,8.0,18.0,17.0,0.0,8.0,4.0,16.0,18.0,11.0,7.0,8.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,8.0,5.0,13.0,6.0,9.0,35.0,0.0,0.0,1.0,0.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8.0,19.0,21.0,0.0,3.0,4.0,9.0,9.0,8.0,7.0,11.0,0.0,0.0,4.0,1.0,35.0,0.0,0.0,16.0,0.0,9.0,10.0,3.0,41.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
19,8.0,20.0,2.0,0.0,2.0,1.0,0.0,3.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,11.0,37.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,9.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,9.0,2.0,6.0,0.0,1.0,2.0,6.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,1.0,3.0,20.0,70.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,9.0,3.0,6.0,0.0,7.0,0.0,14.0,13.0,31.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,1.0,3.0,17.0,75.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
23,9.0,4.0,4.0,0.0,6.0,0.0,10.0,21.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,0.0,6.0,9.0,73.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,9.0,5.0,10.0,0.0,7.0,1.0,12.0,10.0,9.0,9.0,10.0,0.0,0.0,1.0,1.0,21.0,0.0,0.0,16.0,1.0,14.0,8.0,1.0,45.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
25,9.0,6.0,4.0,0.0,1.0,2.0,5.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,31.0,66.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,9.0,7.0,1.0,0.0,7.0,1.0,18.0,8.0,24.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,9.0,0.0,0.0,19.0,24.0,58.0,0.0,0.0,0.0,0.0,25.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
27,9.0,8.0,2.0,0.0,7.0,2.0,12.0,10.0,16.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,13.0,33.0,52.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,9.0,9.0,17.0,0.0,22.0,1.0,12.0,21.0,14.0,10.0,1.0,0.0,0.0,2.0,6.0,14.0,0.0,0.0,13.0,1.0,3.0,1.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29,9.0,10.0,3.0,0.0,8.0,0.0,2.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,2.0,7.0,81.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,9.0,11.0,3.0,0.0,10.0,0.0,7.0,11.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0,17.0,73.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,9.0,12.0,2.0,0.0,0.0,0.0,10.0,13.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,1.0,0.0,1.0,40.0,70.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,9.0,13.0,2.0,0.0,29.0,4.0,12.0,15.0,11.0,5.0,1.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,14.0,0.0,1.0,3.0,1.0,65.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
33,9.0,14.0,2.0,0.0,20.0,0.0,10.0,23.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,2.0,3.0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
34,9.0,15.0,14.0,2.0,10.0,7.0,36.0,5.0,5.0,5.0,7.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,17.0,0.0,11.0,4.0,2.0,32.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,2.0
35,9.0,16.0,6.0,0.0,10.0,0.0,15.0,16.0,34.0,4.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,49.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,9.0,17.0,6.0,0.0,12.0,0.0,26.0,12.0,29.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,1.0,1.0,9.0,5.0,64.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0
37,9.0,18.0,3.0,0.0,2.0,3.0,10.0,18.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,8.0,0.0,5.0,12.0,4.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
38,9.0,19.0,20.0,2.0,4.0,4.0,7.0,10.0,3.0,4.0,13.0,0.0,0.0,1.0,6.0,38.0,0.0,0.0,16.0,3.0,7.0,1.0,2.0,28.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0
39,9.0,20.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,10.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,10.0,2.0,0.0,0.0,2.0,0.0,5.0,11.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,8.0,11.0,60.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
42,10.0,3.0,4.0,0.0,4.0,2.0,17.0,12.0,24.0,3.0,1.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,8.0,2.0,0.0,5.0,35.0,69.0,0.0,0.0,0.0,0.0,33.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,10.0,4.0,2.0,0.0,3.0,1.0,9.0,10.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,36.0,84.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,10.0,5.0,23.0,0.0,16.0,9.0,5.0,6.0,4.0,11.0,13.0,0.0,1.0,0.0,9.0,44.0,0.0,0.0,29.0,0.0,12.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
45,10.0,6.0,4.0,0.0,19.0,10.0,1.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,8.0,1.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,10.0,7.0,4.0,0.0,3.0,0.0,8.0,11.0,16.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,5.0,6.0,76.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,10.0,8.0,5.0,0.0,8.0,0.0,7.0,14.0,18.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,5.0,0.0,0.0,6.0,9.0,68.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,10.0,9.0,4.0,0.0,7.0,1.0,3.0,12.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,0.0,12.0,7.0,83.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
49,10.0,10.0,6.0,0.0,1.0,4.0,2.0,12.0,4.0,11.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,1.0,4.0,3.0,1.0,0.0,2.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
50,10.0,11.0,6.0,0.0,0.0,1.0,18.0,9.0,1.0,6.0,7.0,0.0,1.0,0.0,2.0,18.0,0.0,0.0,8.0,0.0,13.0,0.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
51,10.0,12.0,8.0,0.0,2.0,1.0,8.0,16.0,2.0,6.0,7.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,12.0,5.0,12.0,10.0,2.0,48.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
52,10.0,13.0,3.0,0.0,3.0,0.0,5.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,40.0,84.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,10.0,14.0,1.0,0.0,3.0,1.0,7.0,13.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,5.0,1.0,0.0,10.0,13.0,67.0,0.0,0.0,0.0,0.0,47.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,10.0,15.0,4.0,0.0,7.0,1.0,11.0,11.0,26.0,4.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,9.0,1.0,3.0,5.0,2.0,62.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
55,10.0,16.0,17.0,1.0,15.0,9.0,13.0,6.0,11.0,5.0,18.0,0.0,0.0,0.0,7.0,37.0,0.0,0.0,32.0,0.0,21.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
56,10.0,17.0,4.0,0.0,3.0,0.0,5.0,7.0,19.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,8.0,0.0,0.0,1.0,27.0,82.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,10.0,18.0,10.0,0.0,5.0,0.0,11.0,13.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,1.0,0.0,9.0,12.0,66.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,10.0,19.0,1.0,0.0,1.0,1.0,5.0,4.0,11.0,5.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,36.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,10.0,20.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
60,11.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
61,11.0,2.0,6.0,0.0,1.0,2.0,10.0,16.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,8.0,0.0,0.0,8.0,5.0,66.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,11.0,3.0,0.0,0.0,6.0,2.0,7.0,12.0,8.0,6.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,9.0,2.0,0.0,7.0,7.0,84.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,11.0,4.0,7.0,0.0,10.0,2.0,8.0,16.0,15.0,3.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,10.0,2.0,0.0,2.0,4.0,67.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
64,11.0,5.0,46.0,0.0,4.0,21.0,17.0,4.0,5.0,5.0,4.0,0.0,1.0,0.0,3.0,48.0,0.0,0.0,22.0,1.0,15.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
65,11.0,6.0,10.0,0.0,9.0,3.0,7.0,22.0,6.0,8.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,11.0,0.0,1.0,2.0,2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66,11.0,7.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,8.0,9.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,13.0,0.0,9.0,0.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
67,11.0,8.0,4.0,0.0,8.0,3.0,7.0,14.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,4.0,1.0,10.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,11.0,9.0,4.0,0.0,3.0,1.0,6.0,12.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,8.0,0.0,0.0,7.0,6.0,65.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,11.0,10.0,2.0,0.0,6.0,2.0,28.0,19.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,4.0,0.0,1.0,5.0,2.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
70,11.0,11.0,16.0,0.0,32.0,6.0,11.0,5.0,2.0,12.0,1.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,4.0,1.0,6.0,1.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
71,11.0,12.0,21.0,0.0,40.0,6.0,10.0,7.0,4.0,14.0,11.0,0.0,1.0,1.0,11.0,36.0,0.0,0.0,9.0,4.0,8.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
72,11.0,13.0,5.0,0.0,19.0,0.0,9.0,9.0,8.0,2.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,9.0,3.0,0.0,11.0,11.0,62.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
73,11.0,14.0,5.0,0.0,29.0,2.0,4.0,19.0,28.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,8.0,0.0,0.0,3.0,1.0,53.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,11.0,15.0,10.0,0.0,13.0,4.0,17.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,4.0,38.0,0.0,0.0,6.0,1.0,3.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
75,11.0,16.0,8.0,0.0,17.0,1.0,9.0,13.0,23.0,8.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,8.0,1.0,0.0,0.0,6.0,68.0,0.0,0.0,1.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,11.0,17.0,15.0,0.0,3.0,1.0,12.0,7.0,11.0,5.0,14.0,0.0,0.0,0.0,4.0,26.0,0.0,0.0,14.0,0.0,5.0,2.0,2.0,47.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
77,11.0,18.0,8.0,0.0,3.0,2.0,11.0,13.0,0.0,7.0,14.0,0.0,0.0,0.0,2.0,23.0,0.0,0.0,18.0,1.0,14.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78,11.0,19.0,5.0,0.0,7.0,0.0,8.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
79,11.0,20.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,12.0,1.0,10.0,0.0,0.0,3.0,4.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,14.0,0.0,17.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
81,12.0,2.0,17.0,0.0,0.0,2.0,7.0,8.0,1.0,1.0,21.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,16.0,0.0,22.0,1.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
82,12.0,3.0,5.0,0.0,11.0,1.0,6.0,15.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,10.0,1.0,0.0,0.0,3.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83,12.0,4.0,4.0,0.0,6.0,3.0,5.0,16.0,12.0,14.0,0.0,0.0,1.0,0.0,3.0,12.0,0.0,0.0,9.0,0.0,1.0,0.0,5.0,46.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,12.0,5.0,6.0,0.0,1.0,4.0,8.0,14.0,19.0,5.0,2.0,0.0,0.0,0.0,2.0,30.0,0.0,0.0,1.0,5.0,0.0,3.0,6.0,72.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
