,fov,spot_id,B-cell,NK,T CD4 memory,T CD4 naive,T CD8 memory,T CD8 naive,Treg,endothelial,epithelial,fibroblast,mDC,macrophage,mast,monocyte,neutrophil,pDC,plasmablast,tumor 12,tumor 13,tumor 5,tumor 6,tumor 9
10,1.0,11.0,9.0,7.0,10.0,5.0,3.0,20.0,5.0,23.0,37.0,33.0,1.0,20.0,3.0,9.0,88.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0
11,1.0,12.0,1.0,1.0,5.0,1.0,2.0,0.0,2.0,5.0,14.0,33.0,2.0,6.0,0.0,4.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,156.0
12,1.0,13.0,14.0,2.0,5.0,34.0,4.0,11.0,4.0,32.0,60.0,14.0,3.0,15.0,6.0,6.0,17.0,3.0,5.0,0.0,0.0,0.0,1.0,3.0
13,1.0,14.0,45.0,3.0,4.0,40.0,0.0,20.0,6.0,24.0,38.0,13.0,1.0,4.0,0.0,2.0,36.0,2.0,7.0,0.0,0.0,1.0,0.0,7.0
14,1.0,15.0,2.0,3.0,10.0,5.0,4.0,5.0,1.0,32.0,52.0,42.0,1.0,20.0,3.0,9.0,37.0,7.0,9.0,3.0,0.0,1.0,1.0,5.0
15,1.0,16.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,2.0,10.0,21.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0
16,1.0,17.0,1.0,9.0,3.0,3.0,1.0,14.0,3.0,25.0,30.0,14.0,7.0,32.0,4.0,8.0,53.0,3.0,2.0,2.0,1.0,0.0,0.0,5.0
17,1.0,18.0,9.0,2.0,4.0,5.0,1.0,5.0,9.0,22.0,49.0,7.0,4.0,5.0,4.0,7.0,88.0,5.0,9.0,1.0,0.0,0.0,0.0,7.0
18,1.0,19.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,23.0,35.0,57.0,4.0,19.0,2.0,18.0,51.0,11.0,7.0,1.0,0.0,1.0,0.0,2.0
19,1.0,20.0,1.0,2.0,10.0,0.0,3.0,5.0,1.0,15.0,7.0,22.0,2.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,130.0
20,2.0,1.0,2.0,5.0,3.0,0.0,3.0,5.0,2.0,33.0,49.0,24.0,1.0,31.0,1.0,8.0,31.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0
21,2.0,2.0,0.0,8.0,7.0,0.0,6.0,7.0,2.0,45.0,57.0,13.0,6.0,49.0,3.0,25.0,48.0,3.0,5.0,0.0,0.0,0.0,1.0,6.0
22,2.0,3.0,4.0,5.0,12.0,2.0,4.0,2.0,5.0,36.0,29.0,30.0,6.0,16.0,0.0,23.0,58.0,5.0,12.0,2.0,0.0,1.0,0.0,30.0
23,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,209.0
24,2.0,5.0,1.0,7.0,2.0,0.0,1.0,0.0,0.0,37.0,49.0,11.0,3.0,59.0,1.0,8.0,25.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0
25,2.0,6.0,1.0,5.0,6.0,0.0,6.0,3.0,3.0,37.0,59.0,15.0,6.0,65.0,1.0,4.0,34.0,9.0,3.0,0.0,1.0,1.0,0.0,2.0
26,2.0,7.0,18.0,3.0,10.0,6.0,8.0,11.0,13.0,21.0,27.0,22.0,6.0,26.0,0.0,8.0,17.0,13.0,5.0,0.0,1.0,0.0,0.0,59.0
27,2.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,13.0,9.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0
28,2.0,9.0,2.0,4.0,4.0,4.0,1.0,2.0,3.0,43.0,44.0,10.0,1.0,35.0,1.0,9.0,25.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0
29,2.0,10.0,2.0,8.0,7.0,7.0,7.0,7.0,1.0,25.0,28.0,10.0,8.0,37.0,0.0,10.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0,29.0
30,2.0,11.0,64.0,3.0,12.0,20.0,6.0,13.0,14.0,25.0,15.0,14.0,10.0,7.0,1.0,8.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,43.0
31,2.0,12.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,4.0,2.0,7.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,199.0
32,2.0,13.0,1.0,11.0,3.0,1.0,0.0,1.0,1.0,27.0,40.0,13.0,2.0,24.0,1.0,7.0,24.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0
33,2.0,14.0,2.0,8.0,7.0,1.0,3.0,13.0,6.0,59.0,36.0,11.0,6.0,12.0,0.0,8.0,16.0,3.0,5.0,0.0,3.0,0.0,0.0,14.0
34,2.0,15.0,4.0,1.0,21.0,1.0,14.0,4.0,2.0,10.0,9.0,4.0,7.0,7.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,140.0
35,2.0,16.0,0.0,0.0,20.0,0.0,16.0,1.0,3.0,12.0,5.0,20.0,0.0,13.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,166.0
36,2.0,17.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,25.0,30.0,6.0,9.0,32.0,3.0,7.0,34.0,3.0,3.0,0.0,2.0,1.0,0.0,4.0
37,2.0,18.0,2.0,12.0,5.0,2.0,6.0,5.0,3.0,47.0,40.0,13.0,10.0,34.0,3.0,7.0,17.0,3.0,4.0,0.0,0.0,1.0,0.0,3.0
38,2.0,19.0,10.0,2.0,21.0,11.0,19.0,20.0,17.0,40.0,33.0,15.0,14.0,11.0,1.0,6.0,4.0,5.0,2.0,0.0,3.0,0.0,0.0,23.0
39,2.0,20.0,3.0,1.0,19.0,4.0,22.0,3.0,13.0,15.0,15.0,11.0,9.0,16.0,0.0,6.0,0.0,11.0,10.0,0.0,3.0,0.0,0.0,72.0
40,3.0,1.0,3.0,7.0,3.0,7.0,2.0,2.0,1.0,34.0,28.0,5.0,9.0,43.0,2.0,12.0,52.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0
41,3.0,2.0,0.0,7.0,1.0,2.0,3.0,3.0,2.0,49.0,46.0,12.0,10.0,68.0,4.0,7.0,37.0,10.0,3.0,0.0,0.0,0.0,1.0,0.0
42,3.0,3.0,1.0,7.0,9.0,1.0,7.0,4.0,6.0,50.0,56.0,15.0,13.0,46.0,4.0,5.0,26.0,6.0,2.0,0.0,3.0,0.0,0.0,2.0
43,3.0,4.0,9.0,2.0,13.0,5.0,12.0,5.0,8.0,43.0,18.0,35.0,12.0,40.0,0.0,11.0,1.0,6.0,8.0,0.0,3.0,0.0,0.0,0.0
44,3.0,5.0,7.0,10.0,5.0,35.0,6.0,26.0,6.0,32.0,38.0,12.0,20.0,36.0,3.0,5.0,18.0,6.0,13.0,0.0,1.0,1.0,0.0,3.0
45,3.0,6.0,2.0,5.0,1.0,2.0,4.0,2.0,3.0,38.0,27.0,4.0,13.0,65.0,3.0,7.0,52.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0
46,3.0,7.0,1.0,8.0,1.0,4.0,4.0,5.0,1.0,43.0,42.0,20.0,12.0,35.0,0.0,10.0,25.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0
47,3.0,8.0,16.0,8.0,4.0,7.0,7.0,5.0,7.0,30.0,38.0,28.0,11.0,57.0,2.0,17.0,13.0,9.0,7.0,0.0,0.0,0.0,1.0,2.0
48,3.0,9.0,8.0,6.0,1.0,1.0,2.0,7.0,3.0,18.0,17.0,5.0,2.0,32.0,6.0,9.0,42.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0
49,3.0,10.0,2.0,8.0,0.0,7.0,4.0,8.0,3.0,38.0,40.0,9.0,19.0,45.0,6.0,8.0,33.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0
50,3.0,11.0,2.0,5.0,2.0,2.0,5.0,10.0,3.0,50.0,32.0,24.0,17.0,47.0,2.0,10.0,28.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0
51,3.0,12.0,3.0,8.0,6.0,4.0,3.0,10.0,3.0,38.0,35.0,27.0,7.0,37.0,2.0,14.0,27.0,9.0,14.0,0.0,1.0,0.0,0.0,0.0
52,3.0,13.0,3.0,4.0,2.0,8.0,0.0,7.0,0.0,30.0,23.0,5.0,7.0,19.0,1.0,4.0,38.0,6.0,3.0,0.0,1.0,0.0,0.0,5.0
53,3.0,14.0,1.0,6.0,4.0,2.0,2.0,6.0,9.0,31.0,37.0,14.0,13.0,37.0,5.0,11.0,51.0,3.0,7.0,0.0,1.0,2.0,0.0,2.0
54,3.0,15.0,6.0,6.0,4.0,7.0,5.0,9.0,1.0,46.0,32.0,17.0,12.0,40.0,3.0,11.0,25.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
55,3.0,16.0,3.0,3.0,12.0,2.0,2.0,16.0,3.0,27.0,27.0,48.0,12.0,39.0,0.0,11.0,32.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
56,3.0,17.0,4.0,10.0,4.0,5.0,8.0,14.0,4.0,30.0,44.0,8.0,12.0,30.0,3.0,7.0,33.0,1.0,7.0,0.0,0.0,1.0,0.0,3.0
57,3.0,18.0,5.0,3.0,2.0,10.0,2.0,8.0,3.0,57.0,31.0,23.0,4.0,29.0,2.0,15.0,42.0,3.0,6.0,1.0,0.0,0.0,0.0,2.0
58,3.0,19.0,2.0,5.0,6.0,17.0,4.0,17.0,4.0,53.0,34.0,25.0,10.0,7.0,3.0,22.0,17.0,1.0,6.0,2.0,0.0,0.0,2.0,2.0
59,3.0,20.0,6.0,3.0,22.0,6.0,5.0,12.0,5.0,42.0,26.0,38.0,6.0,11.0,3.0,14.0,18.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0
60,4.0,1.0,4.0,3.0,6.0,3.0,6.0,10.0,7.0,24.0,56.0,17.0,9.0,31.0,2.0,9.0,34.0,8.0,10.0,0.0,3.0,0.0,0.0,0.0
61,4.0,2.0,10.0,4.0,3.0,6.0,4.0,5.0,2.0,30.0,61.0,11.0,20.0,40.0,2.0,33.0,37.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0
62,4.0,3.0,2.0,1.0,8.0,6.0,2.0,4.0,5.0,48.0,70.0,47.0,10.0,24.0,2.0,15.0,17.0,7.0,10.0,0.0,1.0,0.0,0.0,1.0
63,4.0,4.0,2.0,2.0,10.0,6.0,2.0,7.0,5.0,36.0,35.0,57.0,5.0,27.0,0.0,24.0,13.0,8.0,14.0,0.0,3.0,0.0,0.0,1.0
64,4.0,5.0,1.0,5.0,4.0,3.0,4.0,5.0,1.0,39.0,60.0,41.0,8.0,18.0,3.0,26.0,38.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0
65,4.0,6.0,2.0,6.0,4.0,4.0,2.0,9.0,3.0,48.0,55.0,31.0,5.0,18.0,2.0,21.0,61.0,14.0,19.0,0.0,1.0,0.0,0.0,1.0
66,4.0,7.0,4.0,4.0,13.0,4.0,1.0,6.0,5.0,50.0,51.0,38.0,6.0,25.0,0.0,15.0,23.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0
67,4.0,8.0,3.0,1.0,13.0,3.0,6.0,2.0,3.0,28.0,44.0,71.0,7.0,29.0,0.0,21.0,7.0,10.0,22.0,0.0,4.0,0.0,0.0,2.0
68,4.0,9.0,2.0,1.0,2.0,2.0,2.0,6.0,2.0,33.0,30.0,18.0,9.0,27.0,0.0,14.0,31.0,8.0,3.0,1.0,2.0,1.0,0.0,2.0
69,4.0,10.0,21.0,5.0,4.0,9.0,2.0,15.0,11.0,36.0,34.0,9.0,16.0,60.0,0.0,22.0,35.0,9.0,4.0,0.0,1.0,0.0,0.0,2.0
70,4.0,11.0,1.0,1.0,10.0,6.0,4.0,6.0,5.0,44.0,35.0,47.0,14.0,47.0,1.0,16.0,13.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0
71,4.0,12.0,2.0,0.0,8.0,5.0,4.0,5.0,3.0,33.0,44.0,59.0,14.0,59.0,0.0,13.0,12.0,8.0,4.0,1.0,1.0,0.0,0.0,13.0
72,4.0,13.0,0.0,0.0,2.0,0.0,2.0,8.0,1.0,40.0,30.0,13.0,7.0,29.0,2.0,12.0,26.0,10.0,7.0,2.0,0.0,0.0,0.0,3.0
73,4.0,14.0,1.0,4.0,3.0,2.0,3.0,6.0,0.0,55.0,56.0,28.0,9.0,55.0,3.0,14.0,22.0,7.0,9.0,2.0,0.0,0.0,1.0,2.0
74,4.0,15.0,2.0,5.0,16.0,3.0,2.0,3.0,2.0,48.0,27.0,79.0,2.0,23.0,0.0,9.0,18.0,6.0,14.0,0.0,1.0,0.0,0.0,0.0
75,4.0,16.0,1.0,2.0,9.0,0.0,9.0,4.0,5.0,15.0,21.0,16.0,6.0,17.0,0.0,7.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,93.0
76,4.0,17.0,2.0,1.0,3.0,6.0,1.0,6.0,1.0,40.0,50.0,18.0,16.0,32.0,4.0,12.0,9.0,7.0,5.0,1.0,0.0,0.0,0.0,1.0
77,4.0,18.0,2.0,5.0,9.0,7.0,1.0,8.0,4.0,68.0,38.0,42.0,6.0,22.0,3.0,15.0,11.0,14.0,17.0,1.0,0.0,0.0,0.0,1.0
78,4.0,19.0,0.0,0.0,9.0,4.0,4.0,2.0,5.0,23.0,21.0,56.0,2.0,10.0,1.0,1.0,1.0,8.0,11.0,0.0,3.0,0.0,0.0,51.0
79,4.0,20.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,183.0
80,5.0,1.0,0.0,1.0,6.0,1.0,3.0,2.0,0.0,7.0,2.0,58.0,0.0,4.0,0.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,100.0
81,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
82,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0
83,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,195.0
84,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,186.0
85,5.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,62.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,62.0
86,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0
87,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,132.0
88,5.0,9.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,5.0,1.0,45.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,190.0
89,5.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,6.0,2.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,104.0
90,5.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,90.0
91,5.0,12.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,7.0,44.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,83.0
92,5.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,8.0,2.0,16.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,156.0
93,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0
94,5.0,15.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,67.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,126.0
95,5.0,16.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,88.0
96,5.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0
97,5.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,219.0
98,5.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,92.0
99,5.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,70.0
100,6.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,4.0,0.0,36.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,137.0
101,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
102,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,50.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
103,6.0,4.0,2.0,5.0,20.0,4.0,3.0,2.0,5.0,8.0,8.0,86.0,1.0,3.0,2.0,5.0,4.0,5.0,26.0,1.0,0.0,0.0,0.0,11.0
104,6.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,6.0,3.0,21.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,168.0
105,6.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,35.0,0.0,3.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,155.0
106,6.0,7.0,3.0,2.0,17.0,4.0,5.0,2.0,11.0,22.0,15.0,70.0,4.0,5.0,1.0,5.0,2.0,3.0,15.0,0.0,0.0,0.0,0.0,20.0
107,6.0,8.0,10.0,6.0,25.0,6.0,3.0,10.0,17.0,3.0,1.0,67.0,3.0,4.0,0.0,5.0,6.0,9.0,44.0,1.0,0.0,0.0,0.0,12.0
108,6.0,9.0,4.0,0.0,5.0,0.0,2.0,1.0,1.0,23.0,3.0,58.0,1.0,2.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,94.0
109,6.0,10.0,4.0,3.0,4.0,2.0,10.0,4.0,5.0,9.0,9.0,26.0,7.0,14.0,0.0,1.0,6.0,0.0,8.0,0.0,1.0,0.0,0.0,70.0
110,6.0,11.0,2.0,5.0,25.0,3.0,9.0,7.0,10.0,20.0,7.0,61.0,3.0,6.0,1.0,4.0,7.0,9.0,32.0,0.0,1.0,0.0,0.0,13.0
111,6.0,12.0,3.0,4.0,15.0,0.0,5.0,7.0,8.0,2.0,1.0,48.0,1.0,10.0,3.0,5.0,8.0,16.0,30.0,0.0,0.0,1.0,0.0,65.0
112,6.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,209.0
113,6.0,14.0,2.0,1.0,3.0,3.0,1.0,0.0,2.0,9.0,8.0,17.0,5.0,5.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,141.0
114,6.0,15.0,0.0,0.0,9.0,0.0,2.0,3.0,2.0,7.0,5.0,30.0,3.0,3.0,0.0,3.0,3.0,6.0,26.0,0.0,0.0,0.0,0.0,91.0
115,6.0,16.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,149.0
116,6.0,17.0,2.0,0.0,4.0,1.0,11.0,2.0,3.0,7.0,19.0,21.0,9.0,14.0,3.0,6.0,5.0,1.0,4.0,0.0,5.0,0.0,0.0,88.0
117,6.0,18.0,2.0,3.0,2.0,2.0,4.0,2.0,5.0,4.0,9.0,30.0,13.0,10.0,1.0,1.0,6.0,10.0,7.0,1.0,4.0,0.0,0.0,97.0
118,6.0,19.0,0.0,2.0,4.0,0.0,0.0,2.0,1.0,19.0,21.0,64.0,1.0,3.0,0.0,2.0,3.0,0.0,6.0,1.0,2.0,0.0,0.0,17.0
119,6.0,20.0,2.0,2.0,7.0,2.0,2.0,3.0,8.0,8.0,1.0,56.0,1.0,3.0,0.0,5.0,5.0,4.0,48.0,0.0,1.0,0.0,1.0,38.0
120,7.0,1.0,3.0,1.0,13.0,3.0,10.0,1.0,5.0,22.0,17.0,23.0,8.0,12.0,0.0,5.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,95.0
121,7.0,2.0,1.0,0.0,14.0,2.0,5.0,3.0,3.0,10.0,4.0,13.0,4.0,14.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,156.0
122,7.0,3.0,1.0,2.0,1.0,1.0,4.0,0.0,1.0,2.0,0.0,15.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,147.0
123,7.0,4.0,0.0,2.0,10.0,0.0,4.0,1.0,5.0,12.0,1.0,43.0,1.0,10.0,0.0,5.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,83.0
124,7.0,5.0,6.0,7.0,18.0,5.0,13.0,7.0,18.0,24.0,36.0,34.0,14.0,49.0,0.0,9.0,12.0,9.0,9.0,0.0,1.0,0.0,0.0,15.0
125,7.0,6.0,2.0,2.0,11.0,1.0,14.0,4.0,6.0,12.0,6.0,44.0,3.0,6.0,0.0,5.0,5.0,3.0,12.0,0.0,1.0,0.0,0.0,120.0
126,7.0,7.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,14.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0
127,7.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,9.0,34.0,0.0,6.0,0.0,3.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,95.0
128,7.0,9.0,12.0,4.0,14.0,24.0,6.0,11.0,11.0,46.0,37.0,51.0,11.0,17.0,3.0,15.0,34.0,9.0,17.0,1.0,0.0,1.0,0.0,2.0
129,7.0,10.0,9.0,5.0,15.0,19.0,4.0,25.0,14.0,26.0,24.0,27.0,10.0,13.0,2.0,27.0,72.0,8.0,7.0,0.0,1.0,0.0,0.0,6.0
130,7.0,11.0,5.0,8.0,5.0,4.0,1.0,9.0,9.0,12.0,14.0,24.0,4.0,7.0,3.0,45.0,123.0,6.0,18.0,2.0,0.0,0.0,0.0,23.0
131,7.0,12.0,17.0,1.0,23.0,6.0,7.0,18.0,23.0,11.0,4.0,40.0,8.0,6.0,1.0,8.0,7.0,13.0,41.0,0.0,1.0,0.0,0.0,44.0
132,7.0,13.0,4.0,6.0,15.0,13.0,6.0,24.0,15.0,27.0,28.0,46.0,5.0,29.0,2.0,31.0,53.0,3.0,8.0,0.0,1.0,0.0,0.0,3.0
133,7.0,14.0,4.0,7.0,8.0,5.0,4.0,11.0,6.0,10.0,10.0,24.0,15.0,90.0,1.0,26.0,62.0,7.0,14.0,0.0,0.0,0.0,0.0,2.0
134,7.0,15.0,6.0,7.0,15.0,6.0,5.0,8.0,10.0,17.0,24.0,21.0,6.0,30.0,1.0,27.0,108.0,5.0,8.0,0.0,2.0,0.0,0.0,5.0
135,7.0,16.0,5.0,7.0,19.0,5.0,13.0,11.0,10.0,5.0,7.0,27.0,5.0,31.0,1.0,8.0,51.0,11.0,11.0,0.0,1.0,0.0,0.0,83.0
136,7.0,17.0,11.0,2.0,22.0,11.0,7.0,13.0,17.0,29.0,29.0,39.0,18.0,41.0,0.0,20.0,22.0,6.0,14.0,1.0,1.0,0.0,0.0,0.0
137,7.0,18.0,10.0,3.0,15.0,11.0,3.0,4.0,7.0,23.0,19.0,64.0,5.0,51.0,3.0,19.0,29.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0
138,7.0,19.0,1.0,2.0,7.0,3.0,9.0,2.0,2.0,10.0,19.0,30.0,2.0,105.0,1.0,25.0,39.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0
139,7.0,20.0,1.0,6.0,5.0,2.0,11.0,6.0,11.0,6.0,10.0,15.0,4.0,48.0,1.0,9.0,37.0,0.0,2.0,2.0,1.0,0.0,0.0,46.0
