,fov,spot_id,Antibody.secreting.B.cells,CD3+.alpha.beta.T.cells,Central.venous.LSECs,Cholangiocytes,Erthyroid.cells,Hep,Inflammatory.macrophages,Mature.B.cells,NK.like.cells,Non.inflammatory.macrophages,NotDet,Periportal.LSECs,Portal.endothelial.cells,Stellate.cells,gamma.delta.T.cells.1,tumor_1,tumor_2
68,107,6,0,2,0,0,0,0,7,1,0,9,0,3,2,0,0,109,0
69,107,7,0,3,2,0,0,0,6,2,0,1,0,3,0,0,2,172,0
70,107,8,0,4,0,0,0,0,0,2,0,6,0,2,0,0,0,145,0
71,107,9,0,6,1,0,0,0,2,0,0,4,0,2,1,1,0,141,0
72,108,1,0,4,0,0,0,0,2,2,0,5,0,0,0,1,0,156,0
73,108,2,0,3,0,0,0,0,1,0,0,2,0,7,0,0,0,153,0
74,108,3,0,2,2,0,0,0,3,1,1,5,0,1,1,0,0,146,0
75,108,4,0,0,0,0,0,0,1,0,0,3,0,19,0,10,0,144,0
76,108,5,0,2,1,0,0,0,2,0,0,3,0,1,1,0,1,124,0
77,108,6,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,136,0
78,108,7,0,4,0,0,0,0,1,0,0,1,0,1,0,3,1,152,0
79,108,8,0,4,0,0,0,0,5,0,0,0,0,6,0,3,1,155,0
80,108,9,0,3,3,0,1,0,1,0,0,3,0,2,0,2,0,156,0
81,109,1,0,2,1,0,0,0,1,0,0,3,0,0,0,0,0,119,0
82,109,2,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,115,0
83,109,3,0,7,2,0,0,0,4,0,0,4,0,7,1,1,0,164,0
84,109,4,0,2,0,0,0,0,1,0,0,4,0,2,0,0,0,113,0
85,109,5,0,1,0,0,0,0,2,0,0,6,0,2,0,1,0,127,0
86,109,6,0,3,1,0,0,0,0,0,0,3,0,7,0,3,1,147,0
87,109,7,1,2,2,0,0,0,1,0,0,0,0,4,0,0,1,114,0
88,109,8,0,2,0,0,0,0,2,2,0,7,0,6,1,0,0,125,0
89,109,9,0,2,0,0,0,0,3,0,0,3,0,4,0,1,0,132,0
90,10,1,0,1,0,0,0,0,1,1,0,0,0,8,1,1,0,103,0
91,10,2,0,4,3,0,0,0,1,1,0,2,0,6,0,3,0,99,0
92,10,3,0,4,0,0,0,0,1,0,0,0,0,3,0,0,0,98,0
93,10,4,0,0,0,0,2,0,1,0,0,3,0,3,0,0,0,95,0
94,10,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,103,0
95,10,6,0,2,0,0,0,0,1,0,0,3,0,1,0,0,0,63,0
96,10,7,0,0,1,0,0,0,1,0,0,3,0,9,0,5,0,113,0
97,10,8,0,2,0,0,0,0,0,0,0,3,0,10,0,2,0,106,0
98,10,9,0,0,0,0,0,0,1,0,0,4,0,3,0,1,0,85,0
99,110,1,0,10,0,0,1,0,8,0,0,6,0,0,0,1,0,158,0
100,110,2,0,2,1,0,0,0,3,0,0,2,0,3,0,0,0,148,0
101,110,3,0,3,3,0,0,0,0,2,0,3,0,6,0,0,1,144,0
102,110,4,0,6,3,0,0,0,2,1,0,6,0,3,0,0,0,136,0
103,110,5,0,0,1,0,0,0,0,1,0,5,0,2,0,0,0,128,0
104,110,6,0,1,0,0,0,0,3,0,0,0,0,4,0,1,0,113,0
105,110,7,0,3,0,0,0,0,3,8,0,9,0,14,1,4,0,120,0
106,110,8,1,3,2,0,1,0,4,1,0,5,0,5,1,2,1,98,0
107,110,9,0,1,1,0,1,0,9,4,0,9,0,15,0,5,0,127,0
108,111,1,0,15,1,0,0,0,6,2,0,2,0,8,0,7,1,134,1
109,111,2,0,5,1,0,0,0,9,1,0,10,0,4,0,4,2,81,2
110,111,3,0,11,0,0,0,0,10,1,0,8,0,10,0,16,0,64,0
111,111,4,0,16,1,0,0,0,18,3,0,9,0,5,0,27,1,13,4
112,111,5,0,17,3,0,0,0,27,4,1,8,0,6,2,33,1,19,0
113,111,6,0,16,0,0,0,0,17,4,1,7,0,7,0,19,1,29,0
114,111,7,0,11,1,0,0,0,12,7,0,20,0,7,0,9,0,111,0
115,111,8,0,8,4,0,0,0,16,10,1,12,0,6,2,6,0,118,0
116,111,9,0,14,3,0,0,0,23,1,0,16,0,6,1,7,0,111,0
117,112,1,0,4,1,0,0,0,6,0,0,3,0,5,1,2,1,155,0
118,112,2,0,6,1,0,0,0,3,2,1,6,1,4,2,0,1,139,0
119,112,3,0,5,1,0,0,0,2,0,0,7,0,1,1,1,0,169,0
120,112,4,0,1,2,0,0,0,3,0,0,9,0,4,0,0,2,99,0
121,112,5,0,4,0,0,0,0,2,1,0,6,0,5,0,1,0,122,0
122,112,6,0,4,1,0,0,0,1,0,0,1,0,6,1,2,0,140,0
123,112,7,1,5,0,0,0,0,6,0,0,0,0,0,0,2,0,152,0
124,112,8,0,9,0,0,0,0,4,0,0,6,0,3,0,0,0,125,0
125,112,9,0,2,1,0,0,0,2,0,0,1,0,2,0,1,1,132,0
126,113,1,1,2,0,0,0,0,3,0,1,3,0,7,0,0,0,148,0
127,113,2,0,2,0,0,0,0,3,0,0,7,0,5,2,2,1,127,0
128,113,3,0,3,0,0,0,0,2,0,0,5,0,1,0,1,0,149,0
129,113,4,0,1,0,1,1,0,6,1,0,1,0,3,0,0,0,105,0
130,113,5,0,1,1,0,0,0,1,2,0,0,0,3,0,1,0,101,0
131,113,6,0,2,0,0,0,0,0,1,0,2,0,3,0,1,0,112,1
132,113,7,0,1,1,0,0,0,2,2,0,0,0,2,1,2,0,134,0
133,113,8,0,8,0,0,0,0,3,3,0,1,0,4,0,0,0,104,2
134,113,9,0,9,0,0,0,0,9,1,0,5,0,5,0,2,0,107,2
135,114,1,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0,143,1
136,114,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,147,0
137,114,3,0,0,2,0,0,0,0,1,0,4,0,1,0,0,0,164,0
138,114,4,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,118,0
139,114,5,0,2,0,0,0,0,2,0,0,1,0,2,0,1,0,94,0
140,114,6,0,2,0,0,0,0,1,0,0,6,0,3,1,0,0,84,0
141,114,7,0,3,2,0,0,0,2,0,0,3,0,2,1,2,0,95,0
142,114,8,0,5,0,0,0,0,3,0,0,5,0,7,0,1,0,112,0
143,114,9,0,1,2,0,0,0,1,1,0,2,0,9,0,3,0,123,0
144,115,1,0,1,1,0,0,0,1,1,0,7,0,4,0,0,0,131,0
145,115,2,0,8,1,0,0,0,2,3,0,5,0,5,1,2,0,104,0
146,115,3,0,4,2,0,0,0,3,1,0,2,0,6,1,0,0,102,0
147,115,4,0,4,0,0,0,0,5,0,0,5,0,6,1,1,0,106,0
148,115,5,0,2,1,0,0,0,7,1,0,6,0,3,0,0,0,103,0
149,115,6,1,9,2,0,0,0,1,5,0,9,0,5,0,2,0,110,0
150,115,7,0,10,0,0,0,0,4,0,0,5,0,6,0,2,1,99,0
151,115,8,0,3,0,0,0,0,4,0,0,6,0,1,0,4,0,103,0
152,115,9,0,4,4,0,0,0,2,0,0,7,0,9,0,2,0,86,0
153,116,1,0,4,0,0,0,0,2,1,0,6,0,5,0,2,0,113,2
154,116,2,0,1,1,0,0,0,1,0,0,2,0,4,0,1,1,94,1
155,116,3,0,3,0,0,0,0,2,2,0,3,0,4,0,1,0,115,2
156,116,4,0,4,0,0,0,0,0,0,0,1,0,2,0,1,0,66,46
157,116,5,0,5,1,0,0,0,0,0,0,2,0,6,0,3,0,74,32
158,116,6,0,4,0,0,0,0,1,0,0,2,0,2,0,3,0,91,9
159,116,7,0,3,1,0,0,0,1,0,1,0,0,5,0,1,0,119,10
160,116,8,1,2,0,0,0,0,0,1,0,3,0,5,0,1,0,89,27
161,116,9,3,1,0,1,0,0,5,1,0,0,0,2,1,0,0,35,61
162,117,1,0,3,0,2,0,0,2,0,0,0,0,5,0,3,0,110,20
163,117,2,0,6,2,0,0,0,2,2,0,3,0,8,2,2,0,118,0
164,117,3,0,2,2,0,0,0,5,0,0,5,0,15,2,2,0,90,12
165,117,4,0,0,0,0,0,0,4,0,0,5,0,4,0,0,0,81,30
166,117,5,0,0,0,0,0,0,3,1,0,1,0,5,0,2,0,54,45
167,117,6,0,2,0,0,0,0,0,0,0,2,0,2,0,1,0,107,1
168,117,7,0,2,0,0,0,0,4,0,1,5,0,6,0,2,0,114,1
169,117,8,1,6,0,0,0,0,2,1,0,1,0,4,1,2,0,130,0
170,117,9,0,3,0,0,0,0,2,0,0,3,0,5,0,6,0,125,0
171,118,1,0,5,0,0,0,0,1,1,0,3,0,11,0,2,0,98,0
172,118,2,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,112,1
173,118,3,0,2,0,0,0,0,0,1,0,4,0,5,0,5,0,129,0
174,118,4,0,2,0,1,0,0,3,0,0,0,0,2,0,2,0,21,53
175,118,5,0,1,1,0,0,0,1,0,1,1,0,2,0,1,0,56,34
176,118,6,0,1,0,0,0,0,1,0,0,2,0,2,0,1,0,69,2
177,118,7,0,6,1,0,0,0,0,0,0,1,0,3,2,1,1,82,44
178,118,8,0,1,1,1,0,0,7,1,0,0,0,5,0,2,0,65,36
179,118,9,0,4,1,0,0,0,2,0,0,6,0,9,1,0,0,103,0
180,119,1,0,2,0,2,0,0,11,1,0,0,0,0,0,1,0,13,97
181,119,2,0,3,0,1,1,0,3,1,1,0,0,6,0,2,0,84,37
182,119,3,0,3,3,0,0,0,3,0,0,4,0,8,0,1,0,102,23
183,119,4,0,1,0,0,0,0,3,0,0,0,0,1,0,6,0,61,76
184,119,5,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,28,67
185,119,6,0,4,0,0,0,0,1,0,0,0,0,2,0,2,0,49,68
186,119,7,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,82,34
187,119,8,0,5,0,3,0,0,3,0,0,1,0,3,0,0,0,14,79
188,119,9,0,2,1,0,0,0,4,0,0,1,0,10,0,3,0,86,28
189,11,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,113,0
190,11,2,0,3,0,0,0,0,2,0,0,4,0,6,0,2,0,79,0
191,11,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,64,0
192,11,4,1,4,1,0,0,0,0,1,0,2,0,5,0,2,0,106,0
193,11,5,0,1,1,0,0,0,2,1,0,5,0,4,0,2,0,73,0
194,11,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,85,0
195,11,7,0,2,0,0,0,0,1,0,0,1,0,2,0,1,0,108,0
196,11,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,83,0
197,11,9,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,94,0
198,120,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,82,50
199,120,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,22,87
200,120,3,0,2,0,1,0,0,6,0,0,1,0,0,0,0,0,30,72
201,120,4,0,4,2,1,0,0,4,2,0,1,0,7,0,5,0,66,23
202,120,5,0,4,0,0,0,0,2,0,0,1,0,0,0,2,0,74,31
203,120,6,1,3,0,0,0,0,4,1,0,4,0,0,0,2,0,89,12
204,120,7,0,1,0,0,0,0,1,1,0,0,0,2,0,1,0,121,24
205,120,8,1,5,2,0,0,0,1,1,0,0,0,4,1,0,0,107,5
206,120,9,0,4,0,0,0,0,1,0,0,0,0,0,0,3,0,59,49
207,121,1,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,102,1
208,121,2,0,3,0,0,0,0,0,0,0,2,0,2,0,1,0,100,5
209,121,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,38,82
210,121,4,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,117,16
211,121,5,0,0,1,0,0,0,2,0,0,0,0,1,0,2,0,91,30
212,121,6,0,7,1,0,0,0,3,1,0,0,0,0,1,0,0,79,33
213,121,7,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,132,31
214,121,8,0,2,0,0,0,0,4,1,0,0,0,1,1,0,0,98,20
215,121,9,0,3,1,0,0,0,3,0,0,0,0,1,0,2,0,49,62
216,122,1,0,3,0,0,0,0,2,0,1,0,0,3,0,0,0,160,5
217,122,2,0,2,0,0,0,0,1,1,0,3,0,3,0,0,0,107,13
218,122,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,100,57
219,122,4,0,3,1,0,0,0,0,0,0,2,0,0,0,1,0,128,2
220,122,5,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,83,23
221,122,6,0,3,1,0,0,0,2,0,1,2,0,5,0,0,0,92,18
222,122,7,0,4,0,0,0,0,2,0,0,5,0,7,0,0,0,108,0
223,122,8,0,4,0,1,0,0,1,0,0,1,0,4,0,1,0,85,4
224,122,9,0,9,0,2,0,0,7,1,0,1,0,0,0,2,0,69,40
225,123,1,0,6,1,0,1,0,9,1,0,6,0,5,0,2,1,124,0
226,123,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,117,0
227,123,3,0,2,0,1,0,0,5,2,0,0,0,1,0,3,0,63,40
228,123,4,0,2,0,0,0,0,2,1,0,2,0,5,1,1,0,85,44
229,123,5,0,1,0,1,0,0,4,2,0,2,0,0,0,0,0,88,26
230,123,6,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0,62,51
231,123,7,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,40,98
232,123,8,1,4,1,0,0,0,2,1,0,1,0,0,0,1,0,36,103
233,123,9,0,2,0,0,0,0,2,1,0,1,0,1,0,1,0,88,17
234,125,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,141,28
235,125,2,0,2,0,0,0,0,1,0,0,0,0,4,0,3,0,185,1
236,125,3,0,0,0,0,0,0,4,0,1,0,0,4,0,2,1,150,1
237,125,4,1,5,0,1,0,0,1,2,0,0,0,0,0,2,0,110,13
238,125,5,0,1,0,0,0,0,1,0,0,0,0,4,0,3,0,133,13
239,125,6,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,103,8
240,125,7,0,3,2,0,0,0,5,1,0,0,0,2,0,2,1,125,21
241,125,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,128,4
242,125,9,0,1,0,0,0,0,4,0,0,3,0,4,0,2,0,132,0
243,126,1,0,5,0,0,0,0,5,0,0,1,0,1,0,1,0,135,7
244,126,2,0,1,0,0,0,0,3,0,0,0,0,2,0,3,0,132,12
245,126,3,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,113,12
246,126,4,0,2,1,0,0,0,1,3,0,0,0,0,0,0,0,89,11
247,126,5,0,7,0,0,0,0,0,1,0,1,0,2,0,1,0,119,0
248,126,6,2,6,0,0,0,0,1,3,0,4,0,6,2,3,0,106,0
249,126,7,0,3,1,0,0,0,2,0,0,3,0,1,0,1,0,138,1
250,126,8,0,2,1,0,0,0,1,2,1,1,0,4,0,0,0,100,0
251,126,9,1,5,1,0,0,0,2,1,0,1,0,4,0,0,0,95,2
252,127,1,0,2,1,0,0,0,1,5,0,1,0,2,0,1,0,105,1
253,127,2,0,4,0,0,0,0,3,2,0,0,0,0,1,1,0,83,0
254,127,3,0,4,0,0,0,0,2,1,0,3,0,0,0,1,0,119,3
255,127,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
256,127,5,0,4,0,0,0,0,2,1,1,0,0,0,0,0,0,47,1
257,127,6,0,6,1,0,0,0,1,4,0,0,0,0,0,1,0,90,3
258,127,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
259,127,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0
260,127,9,0,10,0,0,0,0,4,9,3,4,0,4,0,3,0,14,0
261,128,1,0,14,2,0,0,0,16,6,1,5,0,2,1,1,0,132,0
262,128,2,0,16,4,0,0,0,6,3,2,4,0,1,1,2,2,110,0
263,128,3,0,4,0,0,0,0,3,3,0,5,0,2,1,0,0,109,1
264,128,4,0,7,0,0,0,0,4,0,0,1,0,1,0,1,2,136,0
265,128,5,0,3,0,0,0,0,4,2,0,6,0,4,0,3,0,97,4
266,128,6,0,3,1,0,0,0,2,1,1,2,0,2,0,2,0,91,16
267,128,7,0,5,0,0,0,0,1,2,0,3,0,3,1,3,0,140,0
268,128,8,0,4,0,0,0,0,1,0,0,2,0,4,0,5,1,98,1
269,128,9,0,2,1,0,0,0,5,0,0,2,0,1,0,1,0,96,37
270,129,1,0,6,0,0,0,0,7,2,0,2,0,2,0,0,0,104,1
271,129,2,0,2,0,0,0,0,2,0,0,2,0,4,0,0,0,101,1
272,129,3,0,1,1,0,0,0,1,2,0,3,0,0,0,0,0,114,5
273,129,4,0,4,2,0,0,0,7,0,0,1,0,7,0,2,1,154,0
274,129,5,0,4,0,0,0,0,3,2,0,3,0,1,0,1,2,151,7
275,129,6,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,96,12
276,129,7,1,2,0,0,0,0,5,1,0,2,0,1,0,0,1,123,0
277,129,8,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,137,8
278,129,9,0,2,1,0,0,0,6,0,0,2,0,0,0,2,0,108,6
279,12,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,112,0
280,12,2,0,3,1,0,0,0,1,0,0,3,0,4,0,2,0,128,0
281,12,3,0,2,1,0,0,0,2,0,0,5,0,1,0,0,0,103,0
282,12,4,0,3,0,0,0,0,0,0,0,2,0,5,0,2,0,85,0
283,12,5,0,3,0,0,0,0,2,0,0,5,0,1,0,0,0,75,0
284,12,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,98,0
285,12,7,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,99,0
286,12,8,0,1,0,0,0,0,0,0,0,4,0,1,0,1,0,103,0
287,12,9,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,97,0
288,130,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,146,0
289,130,2,0,4,1,0,1,0,4,1,0,2,0,1,0,1,1,96,0
290,130,3,0,4,1,0,0,0,7,0,0,0,0,0,0,1,0,115,0
291,130,4,0,3,3,0,0,0,0,0,0,1,0,6,0,1,0,156,0
292,130,5,0,4,1,0,0,0,2,0,1,1,0,2,0,0,0,117,0
293,130,6,0,6,2,0,0,0,3,1,0,0,0,3,0,2,0,157,0
294,130,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,140,1
295,130,8,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,150,0
296,130,9,0,1,1,0,0,0,2,0,0,2,0,3,0,0,1,162,0
297,131,1,0,4,0,0,0,0,1,0,0,2,0,2,1,0,1,133,0
298,131,2,0,5,0,0,0,0,0,0,0,1,0,4,0,0,0,171,0
299,131,3,0,2,0,0,0,0,1,0,0,4,0,6,1,0,0,161,0
300,131,4,0,3,0,0,0,0,2,1,1,5,0,8,0,0,0,137,0
301,131,5,0,3,2,0,0,0,2,0,0,1,0,1,0,0,0,115,0
302,131,6,0,3,0,0,0,0,2,0,0,2,0,2,0,1,0,115,0
303,131,7,0,4,0,0,0,0,4,1,0,5,0,9,0,2,0,168,0
304,131,8,0,7,2,0,0,0,3,4,0,5,0,15,0,1,0,121,0
305,131,9,0,7,1,0,0,0,2,4,0,7,0,7,0,5,0,127,0
306,132,1,0,15,1,0,0,0,17,5,0,8,0,11,1,19,3,69,0
307,132,2,0,15,6,0,0,0,13,4,0,5,0,9,1,13,0,86,0
308,132,3,0,11,1,0,0,0,8,2,0,3,0,11,0,24,0,60,4
309,132,4,0,13,2,0,0,0,34,0,0,6,0,8,0,12,1,96,0
310,132,5,0,11,1,0,0,0,8,3,1,1,0,8,1,11,4,100,0
311,132,6,0,3,0,0,0,0,1,2,0,4,0,8,0,5,0,96,7
312,132,7,0,4,1,0,0,0,4,1,0,2,0,2,1,4,0,138,0
313,132,8,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,110,0
314,132,9,0,2,0,0,0,0,6,0,0,2,0,1,1,0,1,115,0
315,133,1,0,2,0,0,0,0,1,1,0,4,0,1,0,0,0,141,0
316,133,2,0,2,1,0,0,0,3,1,0,2,0,5,0,0,0,135,0
317,133,3,0,7,0,0,0,0,3,3,0,4,0,4,0,2,0,144,0
318,133,4,0,3,0,0,0,0,7,1,0,7,0,9,1,2,0,127,0
319,133,5,0,3,0,0,0,0,3,0,1,0,0,1,1,1,1,99,0
320,133,6,0,6,0,0,0,0,4,2,0,0,0,4,0,1,0,113,0
321,133,7,0,3,0,0,0,0,1,0,0,3,0,4,0,0,0,135,0
322,133,8,0,4,2,0,0,0,1,0,1,0,0,2,0,2,0,122,0
323,133,9,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,114,0
324,134,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,138,0
325,134,2,0,1,0,0,0,0,4,0,0,2,0,3,1,2,1,115,0
326,134,3,0,2,2,0,0,0,1,0,0,0,0,5,0,3,0,182,0
327,134,4,0,1,1,0,0,0,4,1,0,5,0,3,0,1,0,100,1
328,134,5,1,2,2,0,0,0,2,0,0,1,0,5,0,0,0,121,0
329,134,6,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,137,0
330,134,7,0,1,1,0,0,0,0,0,0,7,0,5,0,3,0,133,0
331,134,8,0,2,0,0,0,0,2,1,0,0,0,11,0,6,0,98,0
332,134,9,0,1,2,0,0,0,0,0,0,3,0,3,0,0,1,153,0
333,135,1,0,4,0,0,0,0,7,0,0,3,0,2,0,4,0,151,0
334,135,2,0,5,3,0,0,0,0,1,0,4,0,16,0,6,0,120,0
335,135,3,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,146,0
336,135,4,0,1,0,0,0,0,1,0,0,3,0,2,0,2,0,123,0
337,135,5,0,1,0,0,0,0,1,0,0,3,0,2,0,0,0,140,0
338,135,6,0,2,2,0,0,0,2,0,0,2,0,3,0,0,0,124,0
339,135,7,0,0,0,1,0,0,1,0,0,3,0,3,0,1,0,115,1
340,135,8,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,128,0
