,fov,spot_id,Ascending.vasa.recta.endothelium,B-cell,Connecting.tubule,Descending.vasa.recta.endothelium,Distinct.proximal.tubule.1,Distinct.proximal.tubule.2,Epithelial.progenitor.cell,Fibroblast,Glomerular.endothelium,Indistinct.intercalated.cell,MNP.a.classical.monocyte.derived,MNP.b.non.classical.monocyte.derived,MNP.c.dendritic.cell,Myofibroblast,NK,Pelvic.epithelium,Peritubular.capillary.endothelium.1,Peritubular.capillary.endothelium.2,Podocyte,Principal.cell,Proliferating.Proximal.Tubule,Proximal.tubule,T CD4 memory,T CD4 naive,T CD8 memory,T CD8 naive,Thick.ascending.limb.of.Loop.of.Henle,Treg,Type.A.intercalated.cell,Type.B.intercalated.cell,macrophage,mast,monocyte,pDC,plasmablast
19,1.0,20.0,16.0,1.0,4.0,4.0,30.0,9.0,20.0,3.0,64.0,0.0,1.0,0.0,7.0,16.0,1.0,0.0,50.0,0.0,35.0,6.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0
20,2.0,1.0,9.0,0.0,34.0,1.0,26.0,18.0,19.0,6.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,10.0,0.0,0.0,6.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0
21,2.0,2.0,13.0,1.0,1.0,2.0,52.0,21.0,46.0,4.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,3.0,11.0,1.0,2.0,11.0,3.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0
22,2.0,3.0,5.0,1.0,1.0,0.0,12.0,4.0,7.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,9.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
23,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2.0,5.0,7.0,0.0,6.0,2.0,9.0,20.0,15.0,6.0,1.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,4.0,0.0,0.0,1.0,8.0,109.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0
25,2.0,6.0,19.0,0.0,16.0,6.0,11.0,25.0,17.0,3.0,6.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,4.0,0.0,7.0,11.0,5.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0
26,2.0,7.0,9.0,0.0,7.0,6.0,16.0,20.0,10.0,3.0,8.0,0.0,1.0,2.0,8.0,18.0,0.0,0.0,19.0,0.0,10.0,2.0,2.0,62.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
27,2.0,8.0,6.0,0.0,21.0,1.0,14.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2.0,9.0,17.0,1.0,13.0,4.0,10.0,27.0,56.0,11.0,0.0,0.0,0.0,1.0,6.0,17.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,47.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,13.0
29,2.0,10.0,22.0,0.0,29.0,11.0,19.0,11.0,16.0,8.0,9.0,0.0,0.0,0.0,1.0,43.0,0.0,0.0,20.0,1.0,2.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,1.0,0.0,1.0,11.0
30,2.0,11.0,11.0,0.0,0.0,1.0,22.0,17.0,18.0,10.0,24.0,0.0,1.0,0.0,4.0,19.0,0.0,0.0,40.0,0.0,18.0,1.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31,2.0,12.0,6.0,0.0,0.0,0.0,5.0,25.0,32.0,7.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,1.0,3.0,0.0,0.0,0.0,18.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,2.0,13.0,16.0,4.0,0.0,2.0,15.0,3.0,30.0,20.0,0.0,0.0,1.0,0.0,12.0,7.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,15.0
33,2.0,14.0,15.0,6.0,1.0,2.0,16.0,4.0,43.0,27.0,0.0,0.0,2.0,3.0,14.0,10.0,2.0,0.0,9.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,24.0,1.0,0.0,0.0,13.0
34,2.0,15.0,12.0,0.0,2.0,7.0,19.0,28.0,15.0,19.0,0.0,0.0,1.0,0.0,3.0,38.0,0.0,0.0,4.0,0.0,1.0,10.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,15.0
35,2.0,16.0,8.0,0.0,2.0,2.0,62.0,47.0,8.0,3.0,0.0,0.0,0.0,1.0,7.0,26.0,0.0,0.0,13.0,0.0,0.0,4.0,1.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
36,2.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2.0,18.0,0.0,1.0,0.0,0.0,6.0,17.0,41.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,10.0
38,2.0,19.0,12.0,0.0,0.0,2.0,8.0,23.0,38.0,15.0,0.0,0.0,1.0,1.0,6.0,18.0,0.0,1.0,2.0,0.0,0.0,7.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,16.0
39,2.0,20.0,9.0,0.0,11.0,2.0,12.0,24.0,43.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,5.0,0.0,0.0,12.0,2.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
40,3.0,1.0,6.0,1.0,3.0,0.0,31.0,32.0,45.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,60.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0
41,3.0,2.0,7.0,1.0,2.0,7.0,13.0,39.0,30.0,4.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,8.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0
42,3.0,3.0,0.0,0.0,0.0,1.0,15.0,6.0,6.0,3.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
43,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,3.0,5.0,2.0,0.0,14.0,2.0,12.0,35.0,41.0,4.0,1.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,6.0,0.0,0.0,10.0,8.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
45,3.0,6.0,9.0,1.0,8.0,1.0,6.0,31.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,14.0,0.0,0.0,10.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0
46,3.0,7.0,18.0,0.0,29.0,4.0,3.0,15.0,14.0,5.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0,0.0,11.0,1.0,0.0,11.0,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,6.0,0.0,0.0,0.0,4.0
47,3.0,8.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
48,3.0,9.0,19.0,0.0,24.0,5.0,29.0,34.0,12.0,4.0,11.0,0.0,1.0,0.0,4.0,32.0,0.0,0.0,21.0,1.0,11.0,9.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,7.0,0.0,0.0,0.0,7.0
49,3.0,10.0,6.0,2.0,9.0,1.0,31.0,45.0,44.0,8.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,7.0,0.0,0.0,7.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,5.0
50,3.0,11.0,7.0,3.0,2.0,6.0,25.0,50.0,18.0,6.0,0.0,0.0,0.0,4.0,11.0,33.0,0.0,0.0,6.0,1.0,1.0,16.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,9.0
51,3.0,12.0,5.0,2.0,2.0,3.0,10.0,46.0,15.0,13.0,0.0,0.0,0.0,1.0,5.0,20.0,0.0,0.0,5.0,1.0,0.0,11.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0
52,3.0,13.0,13.0,0.0,8.0,5.0,17.0,14.0,18.0,5.0,8.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,13.0,1.0,9.0,13.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0
53,3.0,14.0,12.0,0.0,2.0,4.0,31.0,40.0,34.0,7.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,7.0,4.0,1.0,9.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
54,3.0,15.0,3.0,1.0,11.0,2.0,66.0,58.0,6.0,7.0,0.0,0.0,1.0,1.0,9.0,33.0,0.0,0.0,7.0,0.0,1.0,7.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0
55,3.0,16.0,10.0,0.0,0.0,2.0,37.0,48.0,17.0,2.0,0.0,0.0,0.0,1.0,3.0,22.0,0.0,0.0,7.0,1.0,0.0,3.0,2.0,66.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
56,3.0,17.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
57,3.0,18.0,6.0,0.0,2.0,5.0,16.0,7.0,4.0,4.0,37.0,0.0,3.0,1.0,2.0,34.0,1.0,0.0,43.0,0.0,25.0,7.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0
58,3.0,19.0,8.0,0.0,10.0,10.0,32.0,44.0,25.0,3.0,0.0,0.0,0.0,0.0,3.0,23.0,0.0,0.0,11.0,5.0,0.0,17.0,8.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
59,3.0,20.0,7.0,0.0,0.0,2.0,27.0,24.0,67.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,1.0,0.0,7.0,44.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,4.0,1.0,5.0,1.0,2.0,1.0,12.0,36.0,30.0,7.0,1.0,0.0,0.0,1.0,2.0,22.0,0.0,0.0,4.0,0.0,2.0,1.0,7.0,63.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0
61,4.0,2.0,3.0,0.0,7.0,8.0,10.0,34.0,15.0,3.0,14.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,8.0,1.0,12.0,1.0,2.0,72.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
62,4.0,3.0,0.0,0.0,7.0,1.0,3.0,19.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,5.0,0.0,1.0,1.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
63,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,4.0,5.0,18.0,4.0,19.0,6.0,4.0,17.0,12.0,9.0,7.0,0.0,0.0,2.0,4.0,33.0,1.0,0.0,17.0,1.0,7.0,11.0,0.0,37.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,14.0,0.0,0.0,0.0,16.0
65,4.0,6.0,12.0,0.0,0.0,8.0,21.0,11.0,0.0,3.0,64.0,0.0,1.0,1.0,1.0,26.0,0.0,0.0,42.0,2.0,40.0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66,4.0,7.0,3.0,0.0,7.0,3.0,6.0,24.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,9.0,4.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,4.0,8.0,6.0,0.0,8.0,1.0,6.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,1.0,22.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0
68,4.0,9.0,23.0,11.0,19.0,20.0,15.0,11.0,15.0,6.0,28.0,0.0,0.0,5.0,16.0,46.0,0.0,0.0,26.0,4.0,5.0,6.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,7.0,3.0,15.0,0.0,0.0,0.0,6.0
69,4.0,10.0,2.0,0.0,24.0,4.0,11.0,27.0,2.0,4.0,12.0,0.0,0.0,0.0,3.0,16.0,1.0,0.0,10.0,0.0,7.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,2.0
70,4.0,11.0,3.0,0.0,13.0,3.0,12.0,46.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,9.0,0.0,0.0,9.0,12.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
71,4.0,12.0,6.0,0.0,9.0,5.0,23.0,30.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,6.0,0.0,1.0,20.0,4.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0
72,4.0,13.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,4.0,14.0,5.0,0.0,5.0,3.0,32.0,46.0,17.0,7.0,8.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
74,4.0,15.0,2.0,0.0,1.0,2.0,49.0,37.0,24.0,1.0,10.0,0.0,0.0,1.0,2.0,32.0,0.0,0.0,6.0,0.0,8.0,5.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0
75,4.0,16.0,2.0,1.0,3.0,2.0,38.0,35.0,23.0,3.0,9.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,2.0,2.0,8.0,4.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
76,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,4.0,18.0,1.0,0.0,7.0,0.0,15.0,9.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,8.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
78,4.0,19.0,8.0,0.0,5.0,1.0,49.0,21.0,23.0,3.0,22.0,0.0,0.0,3.0,3.0,15.0,0.0,0.0,14.0,0.0,6.0,3.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0
79,4.0,20.0,19.0,0.0,10.0,2.0,29.0,14.0,4.0,7.0,50.0,0.0,2.0,3.0,3.0,16.0,0.0,1.0,22.0,0.0,23.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
80,5.0,1.0,6.0,0.0,0.0,3.0,55.0,36.0,3.0,8.0,1.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
81,5.0,2.0,11.0,7.0,0.0,3.0,72.0,32.0,9.0,6.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,27.0
82,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
83,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,5.0,5.0,15.0,3.0,50.0,9.0,1.0,9.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,11.0,1.0,3.0,2.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,6.0
85,5.0,6.0,9.0,9.0,6.0,2.0,9.0,16.0,6.0,13.0,2.0,0.0,1.0,3.0,18.0,24.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,18.0,1.0,0.0,0.0,48.0
86,5.0,7.0,17.0,14.0,18.0,2.0,5.0,12.0,26.0,8.0,3.0,0.0,1.0,2.0,7.0,8.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,17.0,0.0,0.0,0.0,36.0
87,5.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
